query_id,doc_id,rank,score,method
81_1,MARCO_5692955,1,24.33118438720703,rewriter 2
81_1,MARCO_6154874,2,23.265274047851562,rewriter 2
81_1,MARCO_6568085,3,21.818201065063477,rewriter 2
81_1,MARCO_8454278,4,21.524202346801758,rewriter 2
81_1,MARCO_6555538,5,21.384227752685547,rewriter 2
81_1,MARCO_671687,6,21.291030883789062,rewriter 2
81_1,MARCO_1945738,7,21.26990509033203,rewriter 2
81_1,MARCO_1767692,8,21.19483757019043,rewriter 2
81_1,MARCO_8136171,9,21.19120216369629,rewriter 2
81_1,MARCO_5937942,10,21.188926696777344,rewriter 2
81_1,MARCO_6024403,11,21.153650283813477,rewriter 2
81_1,MARCO_6245028,12,21.10926055908203,rewriter 2
81_1,MARCO_1195403,13,21.018823623657227,rewriter 2
81_1,MARCO_6115072,14,20.99292755126953,rewriter 2
81_1,MARCO_6154877,15,20.762998580932617,rewriter 2
81_1,MARCO_1195395,16,20.760435104370117,rewriter 2
81_1,MARCO_1975364,17,20.732685089111328,rewriter 2
81_1,MARCO_6154876,18,20.58006477355957,rewriter 2
81_1,MARCO_6906782,19,20.534738540649414,rewriter 2
81_1,MARCO_7517889,20,20.389873504638672,rewriter 2
81_1,MARCO_5692954,21,20.38149642944336,rewriter 2
81_1,MARCO_2579206,22,20.303688049316406,rewriter 2
81_1,MARCO_6542464,23,20.22308349609375,rewriter 2
81_1,MARCO_1945742,24,20.194822311401367,rewriter 2
81_1,MARCO_5844152,25,20.101308822631836,rewriter 2
81_1,MARCO_888456,26,20.051183700561523,rewriter 2
81_1,MARCO_5241444,27,20.01721954345703,rewriter 2
81_1,MARCO_6157928,28,19.961570739746094,rewriter 2
81_1,MARCO_6549133,29,19.91510772705078,rewriter 2
81_1,MARCO_2950629,30,19.89033317565918,rewriter 2
81_1,MARCO_2957883,31,19.884231567382812,rewriter 2
81_1,MARCO_2481727,32,19.88224983215332,rewriter 2
81_1,MARCO_8581568,33,19.849721908569336,rewriter 2
81_1,MARCO_3212807,34,19.837581634521484,rewriter 2
81_1,MARCO_2750799,35,19.80128288269043,rewriter 2
81_1,MARCO_8270730,36,19.79720687866211,rewriter 2
81_1,MARCO_3517569,37,19.740859985351562,rewriter 2
81_1,MARCO_945537,38,19.7108097076416,rewriter 2
81_1,MARCO_5498475,39,19.710613250732422,rewriter 2
81_1,MARCO_5171382,40,19.70335578918457,rewriter 2
81_1,MARCO_7517892,41,19.678524017333984,rewriter 2
81_1,MARCO_1945736,42,19.66230010986328,rewriter 2
81_1,MARCO_5233381,43,19.646665573120117,rewriter 2
81_1,MARCO_6087033,44,19.598026275634766,rewriter 2
81_1,MARCO_4532453,45,19.592844009399414,rewriter 2
81_1,MARCO_884081,46,19.561418533325195,rewriter 2
81_1,MARCO_2950634,47,19.518850326538086,rewriter 2
81_1,MARCO_1900273,48,19.50208282470703,rewriter 2
81_1,MARCO_5679018,49,19.482563018798828,rewriter 2
81_1,MARCO_4082791,50,19.340972900390625,rewriter 2
81_1,MARCO_8270733,51,19.325986862182617,rewriter 2
81_1,MARCO_6657353,52,19.320114135742188,rewriter 2
81_1,MARCO_6245022,53,19.297439575195312,rewriter 2
81_1,MARCO_6087035,54,19.28809356689453,rewriter 2
81_1,MARCO_2023663,55,19.24091339111328,rewriter 2
81_1,MARCO_6154873,56,19.212387084960938,rewriter 2
81_1,MARCO_4516819,57,19.196205139160156,rewriter 2
81_1,MARCO_7095686,58,19.167476654052734,rewriter 2
81_1,MARCO_6154878,59,19.145326614379883,rewriter 2
81_1,MARCO_3024763,60,19.122289657592773,rewriter 2
81_1,MARCO_5665857,61,19.119800567626953,rewriter 2
81_1,MARCO_888457,62,19.06041717529297,rewriter 2
81_1,MARCO_1900270,63,19.05170249938965,rewriter 2
81_1,MARCO_5553111,64,19.049776077270508,rewriter 2
81_1,MARCO_7308619,65,19.041284561157227,rewriter 2
81_1,MARCO_3588972,66,18.967147827148438,rewriter 2
81_1,MARCO_2062466,67,18.91773223876953,rewriter 2
81_1,MARCO_8275265,68,18.909406661987305,rewriter 2
81_1,MARCO_35626,69,18.825069427490234,rewriter 2
81_1,MARCO_3942600,70,18.78475570678711,rewriter 2
81_1,MARCO_7308614,71,18.773326873779297,rewriter 2
81_1,MARCO_1381087,72,18.76572036743164,rewriter 2
81_1,MARCO_700026,73,18.741395950317383,rewriter 2
81_1,MARCO_1806857,74,18.722318649291992,rewriter 2
81_1,MARCO_8282700,75,18.702213287353516,rewriter 2
81_1,MARCO_4532454,76,18.698116302490234,rewriter 2
81_1,MARCO_6087037,77,18.683427810668945,rewriter 2
81_1,MARCO_7987331,78,18.679279327392578,rewriter 2
81_1,MARCO_7163641,79,18.630512237548828,rewriter 2
81_1,MARCO_6162563,80,18.59469985961914,rewriter 2
81_1,MARCO_1842727,81,18.533981323242188,rewriter 2
81_1,MARCO_6015699,82,18.511539459228516,rewriter 2
81_1,MARCO_6024409,83,18.500991821289062,rewriter 2
81_1,MARCO_4723901,84,18.445852279663086,rewriter 2
81_1,MARCO_3096653,85,18.431074142456055,rewriter 2
81_1,MARCO_5498468,86,18.42610740661621,rewriter 2
81_1,MARCO_1767684,87,18.413488388061523,rewriter 2
81_1,MARCO_3096658,88,18.407245635986328,rewriter 2
81_1,MARCO_5593358,89,18.402009963989258,rewriter 2
81_1,MARCO_3212800,90,18.40157127380371,rewriter 2
81_1,MARCO_7517887,91,18.396930694580078,rewriter 2
81_1,MARCO_6801809,92,18.35933494567871,rewriter 2
81_1,MARCO_3212805,93,18.346879959106445,rewriter 2
81_1,MARCO_4438563,94,18.33063507080078,rewriter 2
81_1,MARCO_7095687,95,18.26666831970215,rewriter 2
81_1,MARCO_5053501,96,18.253198623657227,rewriter 2
81_1,MARCO_8447927,97,18.219812393188477,rewriter 2
81_1,MARCO_7517883,98,18.193931579589844,rewriter 2
81_1,MARCO_7517884,99,18.193931579589844,rewriter 2
81_1,MARCO_2957889,100,18.187637329101562,rewriter 2
81_2,CAR_aee7be1029e24bf71f3a08d4a5593938bda63769,1,29.701465606689453,rewriter 2
81_2,MARCO_2950628,2,29.640625,rewriter 2
81_2,MARCO_1104225,3,29.496736526489258,rewriter 2
81_2,MARCO_2763973,4,29.071178436279297,rewriter 2
81_2,MARCO_5692955,5,28.160194396972656,rewriter 2
81_2,MARCO_6980834,6,27.748807907104492,rewriter 2
81_2,CAR_b234ccd172890997aaa068b075018086ab6eda26,7,27.6220645904541,rewriter 2
81_2,MARCO_2785712,8,27.599388122558594,rewriter 2
81_2,CAR_82e2512becbd3c7fe7614857c4d01841330b2a14,9,27.555988311767578,rewriter 2
81_2,MARCO_4688663,10,27.438173294067383,rewriter 2
81_2,MARCO_5665865,11,27.393342971801758,rewriter 2
81_2,MARCO_1975364,12,27.313779830932617,rewriter 2
81_2,MARCO_5665862,13,27.02566146850586,rewriter 2
81_2,MARCO_6273827,14,26.89617347717285,rewriter 2
81_2,MARCO_3780358,15,26.874874114990234,rewriter 2
81_2,MARCO_1418584,16,26.86682891845703,rewriter 2
81_2,MARCO_1619657,17,26.849079132080078,rewriter 2
81_2,MARCO_4082791,18,26.73548126220703,rewriter 2
81_2,MARCO_6154878,19,26.708438873291016,rewriter 2
81_2,MARCO_1900272,20,26.536705017089844,rewriter 2
81_2,MARCO_8115894,21,26.43954086303711,rewriter 2
81_2,MARCO_1619653,22,26.430238723754883,rewriter 2
81_2,MARCO_7095685,23,26.427766799926758,rewriter 2
81_2,MARCO_7308612,24,26.421138763427734,rewriter 2
81_2,MARCO_1815947,25,26.36713218688965,rewriter 2
81_2,MARCO_5107800,26,26.329347610473633,rewriter 2
81_2,MARCO_5937942,27,26.226642608642578,rewriter 2
81_2,MARCO_888453,28,26.220998764038086,rewriter 2
81_2,MARCO_3942603,29,26.132564544677734,rewriter 2
81_2,MARCO_2839715,30,26.041364669799805,rewriter 2
81_2,MARCO_8270731,31,26.030447006225586,rewriter 2
81_2,MARCO_1900271,32,26.014930725097656,rewriter 2
81_2,CAR_3914550976e39eb40bf1c718ea24cbd434cc91f3,33,25.89098358154297,rewriter 2
81_2,MARCO_6368266,34,25.88271713256836,rewriter 2
81_2,MARCO_6154874,35,25.85883903503418,rewriter 2
81_2,MARCO_6024410,36,25.812129974365234,rewriter 2
81_2,MARCO_8471551,37,25.7803897857666,rewriter 2
81_2,MARCO_2554779,38,25.718788146972656,rewriter 2
81_2,MARCO_2554782,39,25.718788146972656,rewriter 2
81_2,MARCO_7095684,40,25.713558197021484,rewriter 2
81_2,MARCO_3639057,41,25.652318954467773,rewriter 2
81_2,MARCO_6568085,42,25.63275909423828,rewriter 2
81_2,MARCO_8270733,43,25.629486083984375,rewriter 2
81_2,MARCO_2950631,44,25.61717987060547,rewriter 2
81_2,MARCO_3753061,45,25.553632736206055,rewriter 2
81_2,MARCO_4532453,46,25.531206130981445,rewriter 2
81_2,MARCO_5570939,47,25.50812339782715,rewriter 2
81_2,MARCO_3413053,48,25.48963737487793,rewriter 2
81_2,CAR_4a47011356515d1f05a97d2c045c085da86a55e5,49,25.47774314880371,rewriter 2
81_2,MARCO_6115073,50,25.462778091430664,rewriter 2
81_2,MARCO_6845768,51,25.437650680541992,rewriter 2
81_2,CAR_3add84966af079ed84e8b2fc412ad1dc27800127,52,25.406848907470703,rewriter 2
81_2,MARCO_5490360,53,25.39432144165039,rewriter 2
81_2,CAR_8d887e5f8702864936bb8d6127d8530aa0581519,54,25.38388442993164,rewriter 2
81_2,MARCO_3517568,55,25.380216598510742,rewriter 2
81_2,MARCO_7308614,56,25.373151779174805,rewriter 2
81_2,MARCO_6245028,57,25.354612350463867,rewriter 2
81_2,MARCO_5107803,58,25.290939331054688,rewriter 2
81_2,MARCO_6087036,59,25.288494110107422,rewriter 2
81_2,MARCO_7713538,60,25.265430450439453,rewriter 2
81_2,MARCO_7246607,61,25.254371643066406,rewriter 2
81_2,MARCO_3517574,62,25.251068115234375,rewriter 2
81_2,MARCO_3517571,63,25.2085018157959,rewriter 2
81_2,MARCO_671687,64,25.20810890197754,rewriter 2
81_2,MARCO_4516822,65,25.185606002807617,rewriter 2
81_2,MARCO_2950634,66,25.149106979370117,rewriter 2
81_2,MARCO_2174813,67,25.10392951965332,rewriter 2
81_2,MARCO_6087032,68,25.065563201904297,rewriter 2
81_2,MARCO_829401,69,25.017601013183594,rewriter 2
81_2,MARCO_1767684,70,24.9836368560791,rewriter 2
81_2,MARCO_1900265,71,24.91012191772461,rewriter 2
81_2,MARCO_5692954,72,24.88686752319336,rewriter 2
81_2,MARCO_6115074,73,24.884607315063477,rewriter 2
81_2,MARCO_2950629,74,24.882333755493164,rewriter 2
81_2,MARCO_7713537,75,24.851139068603516,rewriter 2
81_2,MARCO_5484630,76,24.836376190185547,rewriter 2
81_2,MARCO_5934326,77,24.756582260131836,rewriter 2
81_2,MARCO_1293775,78,24.750503540039062,rewriter 2
81_2,MARCO_6801809,79,24.717958450317383,rewriter 2
81_2,MARCO_5498473,80,24.710683822631836,rewriter 2
81_2,CAR_57d62ccfb76f75dbd9a73c2d7b6ea74a8c0d601f,81,24.689985275268555,rewriter 2
81_2,MARCO_4532452,82,24.619171142578125,rewriter 2
81_2,MARCO_6087030,83,24.599166870117188,rewriter 2
81_2,MARCO_4001536,84,24.588958740234375,rewriter 2
81_2,MARCO_4959789,85,24.568281173706055,rewriter 2
81_2,MARCO_6706234,86,24.561473846435547,rewriter 2
81_2,MARCO_3653875,87,24.545551300048828,rewriter 2
81_2,CAR_d2480df90a224d7881d6e7c06571a1ee762018ed,88,24.523651123046875,rewriter 2
81_2,MARCO_5822849,89,24.498126983642578,rewriter 2
81_2,MARCO_7095683,90,24.449037551879883,rewriter 2
81_2,MARCO_8270730,91,24.379955291748047,rewriter 2
